PARTIDA;TURNO;NOME_AGENTE;COR_PECA;PLY_TIME;MAX DEPTH; BFACTOR; TOTAL_NODES;MAX BRANCH;MAX BOARD;RESULTADO;
0;1;MINIMAX_T;1;1.406;5;20.0;821955;24;01000	00000	00000	00000	00000	; ;
0;2;MCTS;2;1.407;12;13.0;120861;23;02000	00000	00100	00000	00000	; ;
0;3;MINIMAX_T;1;2.793;5;19.0;2091504;22;20000	00000	00100	00001	00000	; ;
0;4;MCTS;2;2.807;10;13.0;316702;21;20200	00000	00100	00010	00000	; ;
0;5;MINIMAX_T;1;4.789;5;17.0;2572636;21;22000	00000	00100	00010	00000	; ;
0;6;MCTS;2;4.79;8;13.0;423402;20;22000	00000	00110	00010	00000	; ;
0;7;MINIMAX_T;1;1.747;5;15.0;1334446;19;22020	00000	00110	00010	00000	; ;
0;8;MCTS;2;1.748;10;9.0;213684;18;22120	00000	00110	00010	00000	; ;
0;9;MINIMAX_T;1;0.855;5;13.0;786882;17;22120	00000	00110	02010	00000	; ;
0;10;MCTS;2;0.858;10;7.0;129442;16;22120	00000	00110	02110	00000	; ;
0;11;MINIMAX_T;1;0.484;5;11.0;388900;15;22120	00200	00110	02110	00000	; ;
0;12;MCTS;2;0.489;10;5.0;87714;14;22120	00200	01110	02110	00000	; ;
0;13;MINIMAX_T;1;0.183;5;9.0;171506;13;22120	00200	21110	02110	00000	; ;
0;14;MCTS;2;0.19;8;5.0;36183;12;22120	00200	21110	02110	00010	; ;
0;15;MINIMAX_T;1;0.047;5;7.0;52574;11;22120	20200	21110	02110	00010	; ;
0;16;MCTS;2;0.052;8;3.0;14846;10;22120	20200	21110	12110	00010	; ;
0;17;MINIMAX_T;1;0.016;5;5.0;14978;9;22120	20220	21110	12110	00010	; ;
0;18;MCTS;2;0.031;4;5.0;1920;8;22120	21220	21110	12110	00010	; ;
0;19;MINIMAX_T;1;0.0;5;3.0;3620;7;22122	21220	21110	12110	00010	; ;
0;20;MCTS;2;0.015;6;1.0;1957;6;22122	21220	21111	12110	00010	; ;
0;21;MINIMAX_T;1;0.0;5;1.0;326;5;22122	21220	21111	12110	00012	; ;
0;22;MCTS;2;0.016;4;1.0;65;4;22122	21220	21111	12111	00012	; ;
0;23;MINIMAX_T;1;0.0;5;1.0;16;3;22122	21220	21111	12111	02012	; ;
0;24;MCTS;2;0.016;2;1.0;5;2;22122	21220	21111	12111	12012	; ;
0;25;MINIMAX_T;1;0.0;5;1.0;2;1;22122	21222	21111	12111	12012	;EMPATE;
1;1;MCTS;2;0.011;2;11.0;12;24;02000	00000	00000	00000	00000	; ;
1;2;MINIMAX_T;1;7.949;5;19.0;2629442;23;01000	00200	00000	00000	00000	; ;
1;3;MCTS;2;7.95;10;14.0;854099;22;00000	20200	00100	00000	00000	; ;
1;4;MINIMAX_T;1;4.988;5;18.0;3302323;22;00000	02200	00100	00000	00000	; ;
1;5;MCTS;2;4.997;10;12.0;494107;21;00000	02210	00100	00000	00000	; ;
1;6;MINIMAX_T;1;2.429;5;16.0;1970635;20;00000	02210	00100	02000	00000	; ;
