TURNO;NOME_AGENTE;COR_PECA;PLY_TIME;MAX DEPTH; MAX BRANCH; BFACTOR; TOTAL_NODES;RESULTADO;
1;MINIMAX;1;0.074;4;16;11.0;13602; ;
2;MINIMAX;2;0.052;4;19;13.0;19638; ;
3;MINIMAX;1;0.093;4;20;14.0;34205; ;
4;MINIMAX;2;0.122;4;21;13.0;42734; ;
5;MINIMAX;1;0.091;4;23;15.0;45274; ;
6;MINIMAX;2;0.129;4;22;16.0;69084; ;
7;MINIMAX;1;0.072;4;21;13.0;47826; ;
8;MINIMAX;2;0.049;4;21;14.0;37036; ;
9;MINIMAX;1;0.04;4;20;12.0;31000; ;
10;MINIMAX;2;0.055;4;23;16.0;40346; ;
11;MINIMAX;1;0.103;4;23;14.0;79361; ;
12;MINIMAX;2;0.118;4;25;16.0;84921; ;
13;MINIMAX;1;0.109;4;22;15.0;68790; ;
14;MINIMAX;2;0.056;4;24;15.0;42988; ;
15;MINIMAX;1;0.052;4;21;13.0;37654; ;
16;MINIMAX;2;0.03;4;19;12.0;21604; ;
17;MINIMAX;1;0.037;4;21;13.0;29674; ;
18;MINIMAX;2;0.052;4;20;14.0;35579; ;
19;MINIMAX;1;0.036;4;19;13.0;25922; ;
20;MINIMAX;2;0.028;4;19;12.0;21604; ;
21;MINIMAX;1;0.044;4;21;13.0;29674; ;
22;MINIMAX;2;0.047;4;20;14.0;35579; ;
23;MINIMAX;1;0.037;4;19;13.0;25922; ;
24;MINIMAX;2;0.032;4;19;12.0;21604; ;
25;MINIMAX;1;0.037;4;21;13.0;29674; ;
26;MINIMAX;2;0.054;4;21;13.0;43026; ;
27;MINIMAX;1;0.051;4;21;14.0;35467; ;
28;MINIMAX;2;0.05;4;18;13.0;26319; ;
29;MINIMAX;1;0.043;4;22;14.0;32869; ;
30;MINIMAX;2;0.039;4;19;13.0;30316;EMPATE;
1;MINIMAX;2;0.018;4;16;11.0;13602; ;
2;MINIMAX;1;0.027;4;19;12.0;19624; ;
3;MINIMAX;2;0.045;4;20;14.0;31692; ;
4;MINIMAX;1;0.094;4;23;15.0;56230; ;
5;MINIMAX;2;0.07;4;22;14.0;49080; ;
6;MINIMAX;1;0.077;4;26;17.0;61744; ;
7;MINIMAX;2;0.086;4;25;12.0;56794; ;
8;MINIMAX;1;0.069;4;27;19.0;51882; ;
9;MINIMAX;2;0.063;4;26;10.0;50839; ;
10;MINIMAX;1;0.029;4;25;16.0;23657; ;
11;MINIMAX;2;0.05;4;25;11.0;39749; ;
12;MINIMAX;1;0.057;4;26;17.0;39437; ;
13;MINIMAX;2;0.065;4;26;12.0;51139; ;
14;MINIMAX;1;0.047;4;23;14.0;32781; ;
15;MINIMAX;2;0.035;4;21;12.0;28390; ;
16;MINIMAX;1;0.051;4;26;16.0;40728; ;
17;MINIMAX;2;0.068;4;23;13.0;54403; ;
18;MINIMAX;1;0.038;4;22;13.0;29007; ;
19;MINIMAX;2;0.04;4;21;13.0;30318; ;
20;MINIMAX;1;0.047;4;25;16.0;37115; ;
21;MINIMAX;2;0.066;4;24;13.0;49286; ;
22;MINIMAX;1;0.05;4;25;16.0;39456; ;
23;MINIMAX;2;0.058;4;24;12.0;44177; ;
24;MINIMAX;1;0.042;4;22;15.0;32841; ;
25;MINIMAX;2;0.04;4;20;12.0;31993; ;
26;MINIMAX;1;0.032;4;24;15.0;24595; ;
27;MINIMAX;2;0.049;4;20;13.0;37009; ;
28;MINIMAX;1;0.059;4;21;15.0;43597; ;
29;MINIMAX;2;0.066;4;22;15.0;52061;VITORIA;
1;MINIMAX;1;0.021;4;16;11.0;13602; ;
2;MINIMAX;2;0.026;4;19;12.0;19624; ;
3;MINIMAX;1;0.041;4;20;14.0;31692; ;
4;MINIMAX;2;0.072;4;23;15.0;56038; ;
5;MINIMAX;1;0.066;4;22;14.0;50773; ;
6;MINIMAX;2;0.081;4;26;17.0;61744; ;
7;MINIMAX;1;0.071;4;25;12.0;56794; ;
8;MINIMAX;2;0.065;4;27;19.0;51882; ;
9;MINIMAX;1;0.08;4;26;12.0;62500; ;
10;MINIMAX;2;0.038;4;25;16.0;30717; ;
11;MINIMAX;1;0.043;4;24;11.0;31821; ;
12;MINIMAX;2;0.051;4;23;15.0;38258; ;
13;MINIMAX;1;0.079;4;21;14.0;58698; ;
14;MINIMAX;2;0.069;4;23;17.0;53462; ;
15;MINIMAX;1;0.093;4;22;14.0;70232; ;
16;MINIMAX;2;0.07;4;22;15.0;51789; ;
17;MINIMAX;1;0.047;4;21;12.0;37475; ;
18;MINIMAX;2;0.057;4;22;15.0;43427; ;
19;MINIMAX;1;0.059;4;21;13.0;46528; ;
20;MINIMAX;2;0.054;4;23;16.0;41066; ;
21;MINIMAX;1;0.048;4;22;13.0;37904; ;
22;MINIMAX;2;0.035;4;21;14.0;27502; ;
23;MINIMAX;1;0.033;4;21;12.0;26915; ;
24;MINIMAX;2;0.039;4;20;15.0;31640; ;
25;MINIMAX;1;0.05;4;20;13.0;39152; ;
26;MINIMAX;2;0.049;4;19;14.0;36716; ;
27;MINIMAX;1;0.043;4;22;15.0;32800;VITORIA;
1;MINIMAX;2;0.021;4;16;11.0;13602; ;
2;MINIMAX;1;0.025;4;19;13.0;19638; ;
3;MINIMAX;2;0.043;4;20;14.0;34205; ;
4;MINIMAX;1;0.055;4;21;13.0;42734; ;
5;MINIMAX;2;0.057;4;23;15.0;45274; ;
