TURNO;NOME_AGENTE;COR_PECA;PLY_TIME;MAX DEPTH; MAX BRANCH; BFACTOR; TOTAL_NODES;RESULTADO;
1;MINIMAX_T;1;0.548;5;20;13.0;178496; ;
2;MINIMAX_T;2;0.603;5;20;12.0;251843; ;
3;MINIMAX_T;1;0.894;5;24;13.0;463102; ;
4;MINIMAX_T;2;1.204;5;23;14.0;601368; ;
5;MINIMAX_T;1;1.244;5;23;13.0;638760; ;
6;MINIMAX_T;2;2.348;5;24;15.0;1290483; ;
7;MINIMAX_T;1;2.58;5;25;15.0;1232443; ;
8;MINIMAX_T;2;1.88;5;25;13.0;1031896; ;
9;MINIMAX_T;1;1.356;5;27;14.0;714014; ;
10;MINIMAX_T;2;0.915;5;23;13.0;456746; ;
11;MINIMAX_T;1;0.993;5;25;13.0;552491; ;
12;MINIMAX_T;2;1.733;5;24;15.0;964393; ;
13;MINIMAX_T;1;1.764;5;26;14.0;861330; ;
14;MINIMAX_T;2;1.253;5;23;15.0;668477; ;
15;MINIMAX_T;1;1.128;5;25;13.0;513549; ;
16;MINIMAX_T;2;0.851;5;22;14.0;450783; ;
17;MINIMAX_T;1;0.749;5;24;13.0;401072; ;
18;MINIMAX_T;2;0.885;5;23;14.0;442274; ;
19;MINIMAX_T;1;0.442;5;23;11.0;227953; ;
20;MINIMAX_T;2;0.683;5;25;15.0;389548; ;
21;MINIMAX_T;1;0.53;5;20;12.0;280340; ;
22;MINIMAX_T;2;0.416;5;23;14.0;217960; ;
23;MINIMAX_T;1;0.419;5;21;12.0;249695; ;
24;MINIMAX_T;2;0.514;5;22;13.0;280263; ;
25;MINIMAX_T;1;0.438;5;21;12.0;252217; ;
26;MINIMAX_T;2;0.746;5;23;14.0;384049;VITORIA;
1;MINIMAX_T;2;0.292;5;20;13.0;178496; ;
2;MINIMAX_T;1;0.454;5;20;12.0;251843; ;
3;MINIMAX_T;2;0.766;5;24;13.0;463102; ;
4;MINIMAX_T;1;1.536;5;24;13.0;825619; ;
5;MINIMAX_T;2;2.289;5;23;14.0;1179382; ;
6;MINIMAX_T;1;2.031;5;25;14.0;1020146; ;
7;MINIMAX_T;2;1.946;5;24;15.0;1005561; ;
8;MINIMAX_T;1;1.46;5;24;13.0;717224; ;
9;MINIMAX_T;2;1.352;5;23;15.0;671023; ;
10;MINIMAX_T;1;1.148;5;26;14.0;597653; ;
11;MINIMAX_T;2;1.397;5;23;14.0;732488; ;
12;MINIMAX_T;1;1.329;5;26;14.0;651551; ;
13;MINIMAX_T;2;1.226;5;23;14.0;653235; ;
14;MINIMAX_T;1;1.552;5;26;15.0;786033; ;
15;MINIMAX_T;2;1.616;5;24;14.0;822290; ;
16;MINIMAX_T;1;2.165;5;24;14.0;1139374; ;
17;MINIMAX_T;2;1.62;5;26;16.0;830838; ;
18;MINIMAX_T;1;1.04;5;25;12.0;483691; ;
19;MINIMAX_T;2;1.07;5;25;16.0;544853; ;
20;MINIMAX_T;1;0.507;5;25;11.0;270813; ;
21;MINIMAX_T;2;1.061;5;25;17.0;571760; ;
22;MINIMAX_T;1;0.458;5;24;11.0;211608; ;
23;MINIMAX_T;2;1.074;5;26;16.0;541603; ;
24;MINIMAX_T;1;0.72;5;26;11.0;371421; ;
25;MINIMAX_T;2;1.059;5;25;17.0;571760; ;
26;MINIMAX_T;1;0.469;5;24;11.0;211608; ;
27;MINIMAX_T;2;0.984;5;26;16.0;541603; ;
28;MINIMAX_T;1;0.715;5;26;11.0;371421; ;
29;MINIMAX_T;2;1.106;5;25;17.0;571760; ;
30;MINIMAX_T;1;0.438;5;24;11.0;211608;EMPATE;
1;MINIMAX_T;1;0.366;5;20;13.0;178496; ;
2;MINIMAX_T;2;0.454;5;20;12.0;251843; ;
3;MINIMAX_T;1;0.885;5;24;13.0;463102; ;
4;MINIMAX_T;2;1.122;5;23;14.0;601368; ;
5;MINIMAX_T;1;1.159;5;23;13.0;638760; ;
6;MINIMAX_T;2;2.397;5;24;15.0;1290483; ;
7;MINIMAX_T;1;2.432;5;25;15.0;1232443; ;
8;MINIMAX_T;2;1.928;5;25;13.0;1031896; ;
9;MINIMAX_T;1;1.486;5;27;14.0;714014; ;
10;MINIMAX_T;2;0.844;5;23;13.0;456746; ;
11;MINIMAX_T;1;1.015;5;25;13.0;552491; ;
12;MINIMAX_T;2;1.755;5;24;15.0;964393; ;
13;MINIMAX_T;1;1.652;5;26;14.0;861330; ;
14;MINIMAX_T;2;1.293;5;23;15.0;668477; ;
15;MINIMAX_T;1;1.105;5;25;13.0;513549; ;
16;MINIMAX_T;2;1.553;5;24;15.0;839598; ;
17;MINIMAX_T;1;1.768;5;26;14.0;890059; ;
18;MINIMAX_T;2;1.292;5;24;14.0;661212; ;
19;MINIMAX_T;1;0.966;5;23;13.0;487293; ;
20;MINIMAX_T;2;1.449;5;24;14.0;748091; ;
21;MINIMAX_T;1;1.131;5;24;13.0;588685; ;
22;MINIMAX_T;2;1.438;5;26;15.0;706844; ;
23;MINIMAX_T;1;1.256;5;26;13.0;683027; ;
24;MINIMAX_T;2;1.21;5;25;15.0;633189; ;
25;MINIMAX_T;1;0.693;5;23;12.0;342790; ;
26;MINIMAX_T;2;1.097;5;25;15.0;581210; ;
27;MINIMAX_T;1;1.116;5;22;14.0;580699; ;
28;MINIMAX_T;2;1.443;5;23;14.0;769301; ;
29;MINIMAX_T;1;1.638;5;25;15.0;854711; ;
30;MINIMAX_T;2;1.661;5;23;14.0;763908;EMPATE;
1;MINIMAX_T;2;0.344;5;20;13.0;178496; ;
2;MINIMAX_T;1;0.485;5;20;12.0;251843; ;
3;MINIMAX_T;2;0.848;5;24;13.0;463102; ;
